Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,Institution_Web_Address,
161712,A. I. Prince Technical High School,401 Flatbush Avenue,Hartford,CT,"06106",,
125514,A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,"63501",WWW.ATSU.EDU,
125514,A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,"63501",WWW.ATSU.EDU,
229799,A.B.I School of Barbering and Cosmetology of Chelsea,252 West 29th Street,New York,NY,"10001-5271",,
188526,Abcott Institute,"16250 Northland Drive, Suite 205",Southfield,MI,"48075",www.abcottinstiutute.com,
209481,Academy for Jewish Religion,"UCLA, 574 Hilgard Avenue",Los Angeles,CA,"90024",www.ajrca.org,
210191,Academy of Aesthetic Arts,10316 Shawnee Mission Pkwy,Shawnee,KS,"66203",www.aestheticsarts.org,
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"94612",www.acchs.edu,
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"94612",www.acchs.edu,
229540,Academy of Interactive Entertainment,305 Harrison Street,Seattle,WA,"98109",,
210216,Access Careers,"25 Elm Place, Suite #201",Brooklyn,NY,"11201",www.accesscareers.net,
210225,Access Careers - Hempstead,"474 Fulton Avenue, Suite 201",Hempstead,NY,"11550",www.accesscareers.net,
234650,"Adult & Community Education, Columbus City Schools",2323 Lexington Ave,Columbus,OH,"43211",,
158486,Adult Center for Education,920 Moxahala Avenue,Zanesville,OH,"43701",www.mid-east.k12.oh.us,
219417,Advanced Career Institute - Visalia,1728 North Kelsey Street,Visalia,CA,"93291",www.trainaci.com,
210243,Aiken School of Cosmetology,225 Richland Avenue E,Aiken,SC,"29801",www.aikenschoolofcosmetology.com,
228088,Alamo City Barber College,"8910 Bandera Road, Suite 204",San Antonio,TX,"78250",,
207290,Alaska Christian College,35109 Royal Pl,Soldotna,AK,"99669-9755",www.akcc.org,
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"91801",www.amuedu.com,
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"91801",www.amuedu.com,
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"91801",www.amuedu.com,
229771,Alliance Computing Solutions (ACS),"3660 Main Street, 4th Floor",Flushing,NY,"11354",,
154314,Altamaha Technical College,1777 W Cherry St,Jesup,GA,"31545",www.altamahatech.edu,
112312,American Academy of Art,332 S Michigan Ave,Chicago,IL,"60604-4302",www.aaart.edu,
211802,American Christian College & Seminary,4300 Highline Blvd,Oklahoma City,OK,"73108",,
164508,American College of Acupuncture and Oriental Medicine,9100 Park West Drive,Houston,TX,"70063-4104",www.acaom.edu,
164827,American College of Traditional Chinese Medicine,455 Arkansas St,San Francisco,CA,"94107",www.actcm.edu,
169956,American Institute of Alternative Medicine,6685 Doubletree Ave,Columbus,OH,"43229",www.aiam.edu,
219462,American Institute of Pharmaceutical Technology,210 Lee Place,Hackensack,NJ,"06701",www.aiptnet.com,
229559,American Truck School,8530 Commercial Way,Redding,CA,"96002",,
190123,American University of Armenia,300 Lakeside Drive. 4th Floor,Oakland,CA,"94612",,
210261,Anderson Medical Career College,10752 Burbank Boulevard,North Hollywood,CA,"91601",www.andersonmedicalcollege.com,
207388,Angeles Institute,"11688 South Street, Suite 205",Artesia,CA,"90701",,
229805,Anson College of Cosmetology,1217 East Caswell Street,Wadesboro,NC,"28170",,
164517,AOMA Graduate School of Integrative Medicine,2700 W Anderson Ln Ste 204,Austin,TX,"78757",www.aoma.edu,
228723,Aparicio-Levy Technical Center,10119 East Ellicott Street,Tampa,FL,"33610",,
169840,Apex School of Theology,1701 T.W. Alexander Drive,Durham,NC,"27703",www.apexsot.edu,
183691,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,"24631",www.acpharm.org,
183691,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,"24631",www.acpharm.org,
230199,ARCLabs,"2615 Highway 153, Unit B-3",Piedmont,SC,"29673",,
226745,Arkansas Career Training Institute,105 Reserve,Hot Springs,AR,"71902",,
101754,Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,AR,"72801-2222",www.atu.edu,
159382,ASA Institute of Business and Computer Technology,151 Lawrence Street,Brooklyn,NY,"11201",www.asa.edu,
218991,Athena Career Academy,5203 Airport Highway,Toledo,OH,"43615",,
110884,Atlanta Technical College,"1560 Metropolitan Pkwy, S.W.",Atlanta,GA,"30310",www.atlantatech.edu,
208080,Aultman College of Nursing and Health Sciences,2600 Sixth Street SW,Canton,OH,"44710-1799",,
176354,Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,"34142",www.avemaria.edu,
176354,Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,"34142",www.avemaria.edu,
183725,Bais Medrash Toras Chesed,910 Monmouth Avenue,Lakewood,NJ,"08701",,
122162,Baker College,1050 West Bristol Road,Flint,MI,"48507",www.baker.edu,
163435,Bakke Graduate University,1013 8th Avenue Suite 401,Seattle,WA,"98104",www.bgu.edu,
161660,Baldwin Park Adult and Community Education,4640 N. Maine Ave,Baldwin Park,CA,"91706-4221",www.bpace.k12.ca.us,
144467,Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,TX,"75766-5407",www.bmats.edu,
174428,Bassett Adult School,1314 N. Le Borgne,LaPuente,CA,"91746",www.bassett.k12.ca.us,
233082,Bassett Adult School,943 North Sunkist Avenue,La Puente,CA,"91746",,
148779,Bastyr University,14500 Juanita Drive NE,Kenmore,WA,"98028",www.bastyr.edu,
148779,Bastyr University,14500 Juanita Drive NE,Kenmore,WA,"98028",www.bastyr.edu,
156569,Baylor University Medical Center,3500 Gaston Avenue,Dallas,TX,"75246",,
164021,Beacon University,6003 Veterans Parkway,Columbus,GA,"31909-4663",beacon.edu,
190363,Beaumont Adult School,1575 Cherry Avenue,Beaumont,CA,"92223",,
191755,Beauty Academy of South Florida,9800 NW 77th Avenue,Hialeah Gardens,FL,"33016",www.beautyacademyofsouthflorida.com,
219435,Beauty and Health Institute,11309 Countryway Boulevard,Tampa,FL,"33626",www.bhicareer.com,
143136,Belmont University,1900 Belmont Blvd,Nashville,TN,"37212-3757",www.belmont.edu,
208424,Bethel College,1705 Todds Lane,Hampton,VA,"23666-2366",www.bethel-college.com,
102650,Bethesda University,730 North Euclid St,Anaheim,CA,"92801",www.buc.edu,
111027,Beulah Heights University,892 Berne Street PO Box 18145,Atlanta,GA,"30316",www.beulah.edu,
171049,Birthingway College of Midwifery,12113 SE Foster Rd,Portland,OR,"97266",www.birthingway.edu,
170444,Birthwise Midwifery School,24 South High Street,Bridgton,ME,"04009",www.birthwisemidwifery.org,
151661,Blue Hills Regional Technical School,800 Randolph St,Canton,MA,"02021",www.bluehills.org,
183442,Bob Jones University,1700 Wade Hampton Boulevard,Greenville,SC,"29614",www.bju.edu,
223074,Boca Beauty Academy,"7280 Glades Road, Suite 175",Boca Raton,FL,"33434",,
125064,Boonslick Technical Education Center,1694 Ashley Rd,Boonville,MO,"65233",www.btec.boonville.k12.mo.us,
120670,Boston Baptist College,950 Metropolitan Ave,Boston,MA,"02136-4030",www.boston.edu,
216579,Boxelder Job Corps Center,22023 Job Corps Place,Nemo,SD,"57759",,
226754,BR Global Learning,307 Roosevelt Avenue,Hato Rey,PR,"00918",,
135364,Bradford School,2469 Stelzer Road,Columbus,OH,"43219",www.bradfordschoolcolumbus.edu,
187815,Bristol Technical Education Center,431 Minor Street,Bristol,CT,"06010",,
188632,Brunswick Job Corps Center,4401 Glynco Parkway,Brunswick,GA,"31525",,
216454,Buckner Barber College,"1515 S. Buckner Blvd., #147",Dallas,TX,"75217",,
187833,Bullard - Havens Technical High School,500 Palisade Avenue,Bridgeport,CT,"06610",,
229212,Burnett International College,1903 South Congress Avenue,Boynton Beach,FL,"33426",,
135036,Butler Technology and Career Development Schools,3603 Hamilton Middletown Rd,Hamilton,OH,"45011",www.butlertech.org,
228167,Butte County Regional Occupational Program,"2491 Carmichael Drive, Suite 200",Chico,CA,"95928",,
189291,Byzantine Catholic Seminary of SS. Cyril and Methodius,3605 Perrysville Avenue,Pittsburgh,PA,"15214",www.byzcathsem.org/main/home.php,
103130,California Christian College,4881 E University Ave,Fresno,CA,"93703-3599",www.calchristiancollege.edu,
233462,California Institute of Medical Science,"1901 E. Shields, B-118",Fresno,CA,"93726",,
207768,California Northstate College of Pharmacy,10811 International Drive,Rancho Cordova,CA,"95670",www.californiacollegeofpharmacy.org,
170240,California State University - Channel Islands,One University Dr,Camarillo,CA,"93012",www.csuci.edu,
102951,California State University - Fullerton,800 N State College Blvd,Fullerton,CA,"92831-3599",www.fullerton.edu,
103006,California State University - Sacramento,6000 J St,Sacramento,CA,"95819-2694",www.csus.edu,
114585,Calumet College of St. Joseph,2400 New York Ave,Whiting,IN,"46394",www.ccsj.edu,
139047,Calvary Baptist Theological Seminary,1380 S. Valley Forge Rd.,Lansdale,PA,"19446-4797",seminary.cbs.edu,
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,"93534",www.careercareinstitute.com,
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,"93534",www.careercareinstitute.com,
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,"93534",www.careercareinstitute.com,
191773,Career College of New York - Staten Island,"350 St. Marks Place, Room 105",Staten Island,NY,"10301",,
191764,Career College of San Diego,"3350 Market Street, Suite C",San Diego,CA,"92102",www.careercollegesandiego.com,
208433,Carolina College of Biblical Studies,817 S. McPherson Church Road,Fayetteville,NC,"28303-5157",www.carolinabiblecollege.org,
216463,Carolina College of Hair Design,"85 Tunnel Road, Innsbruck Mall",Asheville,NC,"28805",,
174482,Carolina Graduate School of Divinity,2400 Old Chapman Street,Greensboro,NC,"27403",www.ceds.edu,
174482,Carolina Graduate School of Divinity,2400 Old Chapman Street,Greensboro,NC,"27403",www.ceds.edu,
112118,Carrington College - Boise,1122 North Liberty Street,Boise,ID,"83704",,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,"85051-4063",www.apollocollege.edu,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,"85051-4063",www.apollocollege.edu,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,"85051-4063",www.apollocollege.edu,
143163,Carson-Newman University,1646 Russell Avenue,Jefferson City,TN,"37760",www.cn.edu,
188702,Carville Job Corps Academy,5465 Point Clair Road,Carville,LA,"70721",,
168087,Cascadia Community College,18345 Campus Way NE,Bothell,WA,"98011-8205",www.cascadia.edu,
139083,Cedar Crest College,100 College Drive,Allentown,PA,"18104-6196",www.cedarcrest.edu,
208646,Cedars Sinai Medical Center,8700 Beverly Blvd.  Room 1316,Los Angeles,CA,"90048",,
188720,Center for Antiterrorism and Navy Security Forces,"1575 Gator Boulevard, Suite 226",Norfolk,VA,"23521",,
103264,Center for Employment Training - San Jose,701 Vine St,San Jose,CA,"95110",www.cet2000.org,
187763,Central Baptist Theological Seminary of Minneapolis,900 Forestview Lane North,Plymouth,MN,"55441",www.centralseminary.edu,
103370,Chapman University,One University Dr.,Orange,CA,"92866",www.chapman.edu,
106625,Charles A. Jones Skills and Business Education Center,5451 Lemon Hill Ave,Sacramento,CA,"95824-1529",,
162779,Charles H McCann Technical School,70 Hodges Cross Rd,North Adams,MA,"01247-3999",,
103389,Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,CA,"90059",www.cdrewu.edu,
172787,Charlotte Christian College and Theological Seminary,3117 Whiting Ave,Charlotte,NC,"28205-1648",www.nlts.edu,
112668,Chicago State University,9501 South King Drive,Chicago,IL,"60628",www.csu.edu,
150419,Chippewa Valley Technical College,620 W Clairemont Ave,Eau Claire,WI,"54701-6162",www.cvtc.edu,
153056,Christian Life College,400 E Gregory St,Mount Prospect,IL,"60056-2522",www.christianlifecollege.edu,
231882,Clinical Research Academy of America,"100 Menlo Park Drive, Suite 550",Edison,NJ,"08837",,
142230,Clinton College,1029 Crawford Rd,Rock Hill,SC,"29730",www.clintonjuniorcollege.edu,
162089,Clinton-Essex-Warren-Washington BOCES,"1585 Military Turnpike, P.O. Box 455",Plattsburgh,NY,"12901-0455",www.cves.org,
103501,Clovis Adult Education,1452 David E Cook Way,Clovis,CA,"93611",,
118392,Cloyd's Beauty School #1,603 Natchitoches Street,West Monroe,LA,"71291",cloydsbeautyschool.com,
142249,Coker College,300 E College Ave,Hartsville,SC,"29550",www.coker.edu,
158431,College of Biblical Studies-Houston,7000 Regency Square Blvd.,Houston,TX,"77036-3211",www.cbshouston.edu,
124229,College of Saint Benedict,37 S College Ave,Saint Joseph,MN,"56374",www.csbsju.edu,
106537,College of the Sequoias,915 S Mooney Blvd,Visalia,CA,"93277-2214",cos.edu,
216490,Colorado Academy of Veterinary Technology,2766-68 Janitell Road,Colorado Springs,CO,"80906",,
125189,Columbia Area Career Center,4205 South Providence Road,Columbia,MO,"65203",www.career-center.org,
179098,Columbia Centro Universitario,PO Box 8517,Caguas,PR,"00726",www.columbiaco.edu,
207458,Columbia College,8300 Merrifield Avenue 3F,Fairfax,VA,"22031",,
