ID,Name,Address,City,State,Zip_Code,Phone_Number,Web_Address
161712,A. I. Prince Technical High School,401 Flatbush Avenue,Hartford,CT,06106,,
125514,A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,63501,660-626-2121,WWW.ATSU.EDU
125514,A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,63501,660-626-2121,WWW.ATSU.EDU
229799,A.B.I School of Barbering and Cosmetology of Chelsea,252 West 29th Street,New York,NY,10001-5271,,
188526,Abcott Institute,"16250 Northland Drive, Suite 205",Southfield,MI,48075,248-440-6020,www.abcottinstiutute.com
209481,Academy for Jewish Religion,"UCLA, 574 Hilgard Avenue",Los Angeles,CA,90024,310-824-1586,www.ajrca.org
210191,Academy of Aesthetic Arts,10316 Shawnee Mission Pkwy,Shawnee,KS,66203,913-962-9772,www.aestheticsarts.org
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,94612,510-763-7787,www.acchs.edu
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,94612,510-763-7787,www.acchs.edu
229540,Academy of Interactive Entertainment,305 Harrison Street,Seattle,WA,98109,,
210216,Access Careers,"25 Elm Place, Suite #201",Brooklyn,NY,11201,718-643-9060,www.accesscareers.net
210225,Access Careers - Hempstead,"474 Fulton Avenue, Suite 201",Hempstead,NY,11550,516-433-0034,www.accesscareers.net
234650,"Adult & Community Education, Columbus City Schools",2323 Lexington Ave,Columbus,OH,43211,,
158486,Adult Center for Education,920 Moxahala Avenue,Zanesville,OH,43701,740-455-3111,www.mid-east.k12.oh.us
219417,Advanced Career Institute - Visalia,1728 North Kelsey Street,Visalia,CA,93291,559-651-1978,www.trainaci.com
210243,Aiken School of Cosmetology,225 Richland Avenue E,Aiken,SC,29801,803-644-7133,www.aikenschoolofcosmetology.com
228088,Alamo City Barber College,"8910 Bandera Road, Suite 204",San Antonio,TX,78250,,
207290,Alaska Christian College,35109 Royal Pl,Soldotna,AK,99669-9755,907-260-7422,www.akcc.org
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,91801,626-289-7719,www.amuedu.com
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,91801,626-289-7719,www.amuedu.com
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,91801,626-289-7719,www.amuedu.com
229771,Alliance Computing Solutions (ACS),"3660 Main Street, 4th Floor",Flushing,NY,11354,,
154314,Altamaha Technical College,1777 W Cherry St,Jesup,GA,31545,912-427-5800,www.altamahatech.edu
112312,American Academy of Art,332 S Michigan Ave,Chicago,IL,60604-4302,312-461-0600,www.aaart.edu
211802,American Christian College & Seminary,4300 Highline Blvd,Oklahoma City,OK,73108,,
164508,American College of Acupuncture and Oriental Medicine,9100 Park West Drive,Houston,TX,70063-4104,713-780-9777,www.acaom.edu
164827,American College of Traditional Chinese Medicine,455 Arkansas St,San Francisco,CA,94107,415-282-7600,www.actcm.edu
169956,American Institute of Alternative Medicine,6685 Doubletree Ave,Columbus,OH,43229,614-825-6278,www.aiam.edu
219462,American Institute of Pharmaceutical Technology,210 Lee Place,Hackensack,NJ,06701,201-489-2771,www.aiptnet.com
229559,American Truck School,8530 Commercial Way,Redding,CA,96002,,
190123,American University of Armenia,300 Lakeside Drive. 4th Floor,Oakland,CA,94612,,
210261,Anderson Medical Career College,10752 Burbank Boulevard,North Hollywood,CA,91601,818-762-7095,www.andersonmedicalcollege.com
207388,Angeles Institute,"11688 South Street, Suite 205",Artesia,CA,90701,,
229805,Anson College of Cosmetology,1217 East Caswell Street,Wadesboro,NC,28170,,
164517,AOMA Graduate School of Integrative Medicine,2700 W Anderson Ln Ste 204,Austin,TX,78757,512-454-1188,www.aoma.edu
228723,Aparicio-Levy Technical Center,10119 East Ellicott Street,Tampa,FL,33610,,
169840,Apex School of Theology,1701 T.W. Alexander Drive,Durham,NC,27703,919-572-1625,www.apexsot.edu
183691,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,24631,276-498-4190,www.acpharm.org
183691,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,24631,276-498-4190,www.acpharm.org
230199,ARCLabs,"2615 Highway 153, Unit B-3",Piedmont,SC,29673,,
226745,Arkansas Career Training Institute,105 Reserve,Hot Springs,AR,71902,,
101754,Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,AR,72801-2222,479-968-0389,www.atu.edu
159382,ASA Institute of Business and Computer Technology,151 Lawrence Street,Brooklyn,NY,11201,718-522-9073,www.asa.edu
218991,Athena Career Academy,5203 Airport Highway,Toledo,OH,43615,,
110884,Atlanta Technical College,"1560 Metropolitan Pkwy, S.W.",Atlanta,GA,30310,404-225-4400,www.atlantatech.edu
208080,Aultman College of Nursing and Health Sciences,2600 Sixth Street SW,Canton,OH,44710-1799,,
176354,Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,34142,,www.avemaria.edu
176354,Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,34142,,www.avemaria.edu
183725,Bais Medrash Toras Chesed,910 Monmouth Avenue,Lakewood,NJ,08701,732-901-6786,
122162,Baker College,1050 West Bristol Road,Flint,MI,48507,810-766-4000,www.baker.edu
163435,Bakke Graduate University,1013 8th Avenue Suite 401,Seattle,WA,98104,206-264-9100,www.bgu.edu
161660,Baldwin Park Adult and Community Education,4640 N. Maine Ave,Baldwin Park,CA,91706-4221,626-856-4101,www.bpace.k12.ca.us
144467,Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,TX,75766-5407,903-586-2501,www.bmats.edu
174428,Bassett Adult School,1314 N. Le Borgne,LaPuente,CA,91746,626-931-7956,www.bassett.k12.ca.us
233082,Bassett Adult School,943 North Sunkist Avenue,La Puente,CA,91746,,
148779,Bastyr University,14500 Juanita Drive NE,Kenmore,WA,98028,425-823-1300,www.bastyr.edu
148779,Bastyr University,14500 Juanita Drive NE,Kenmore,WA,98028,425-823-1300,www.bastyr.edu
156569,Baylor University Medical Center,3500 Gaston Avenue,Dallas,TX,75246,,
164021,Beacon University,6003 Veterans Parkway,Columbus,GA,31909-4663,706-323-5364-100,beacon.edu
190363,Beaumont Adult School,1575 Cherry Avenue,Beaumont,CA,92223,951-845-6012,
191755,Beauty Academy of South Florida,9800 NW 77th Avenue,Hialeah Gardens,FL,33016,305-817-3577,www.beautyacademyofsouthflorida.com
219435,Beauty and Health Institute,11309 Countryway Boulevard,Tampa,FL,33626,813-749-1888,www.bhicareer.com
143136,Belmont University,1900 Belmont Blvd,Nashville,TN,37212-3757,615-460-6000,www.belmont.edu
208424,Bethel College,1705 Todds Lane,Hampton,VA,23666-2366,757-826-1883,www.bethel-college.com
102650,Bethesda University,730 North Euclid St,Anaheim,CA,92801,714-517-1945,www.buc.edu
111027,Beulah Heights University,892 Berne Street PO Box 18145,Atlanta,GA,30316,404-627-2681,www.beulah.edu
171049,Birthingway College of Midwifery,12113 SE Foster Rd,Portland,OR,97266,503-760-3131,www.birthingway.edu
170444,Birthwise Midwifery School,24 South High Street,Bridgton,ME,04009,207-647-5968,www.birthwisemidwifery.org
151661,Blue Hills Regional Technical School,800 Randolph St,Canton,MA,02021,781-828-5800-229,www.bluehills.org
183442,Bob Jones University,1700 Wade Hampton Boulevard,Greenville,SC,29614,864-242-5100,www.bju.edu
223074,Boca Beauty Academy,"7280 Glades Road, Suite 175",Boca Raton,FL,33434,,
125064,Boonslick Technical Education Center,1694 Ashley Rd,Boonville,MO,65233,660-882-5306,www.btec.boonville.k12.mo.us
120670,Boston Baptist College,950 Metropolitan Ave,Boston,MA,02136-4030,617-364-3510,www.boston.edu
216579,Boxelder Job Corps Center,22023 Job Corps Place,Nemo,SD,57759,605-348-3636,
226754,BR Global Learning,307 Roosevelt Avenue,Hato Rey,PR,00918,,
135364,Bradford School,2469 Stelzer Road,Columbus,OH,43219,614-416-6200,www.bradfordschoolcolumbus.edu
187815,Bristol Technical Education Center,431 Minor Street,Bristol,CT,06010,,
188632,Brunswick Job Corps Center,4401 Glynco Parkway,Brunswick,GA,31525,912-264-8843,
216454,Buckner Barber College,"1515 S. Buckner Blvd., #147",Dallas,TX,75217,,
187833,Bullard - Havens Technical High School,500 Palisade Avenue,Bridgeport,CT,06610,,
229212,Burnett International College,1903 South Congress Avenue,Boynton Beach,FL,33426,,
135036,Butler Technology and Career Development Schools,3603 Hamilton Middletown Rd,Hamilton,OH,45011,513-645-8205,www.butlertech.org
228167,Butte County Regional Occupational Program,"2491 Carmichael Drive, Suite 200",Chico,CA,95928,,
189291,Byzantine Catholic Seminary of SS. Cyril and Methodius,3605 Perrysville Avenue,Pittsburgh,PA,15214,412-321-8383,www.byzcathsem.org/main/home.php
103130,California Christian College,4881 E University Ave,Fresno,CA,93703-3599,559-251-4215,www.calchristiancollege.edu
233462,California Institute of Medical Science,"1901 E. Shields, B-118",Fresno,CA,93726,,
207768,California Northstate College of Pharmacy,10811 International Drive,Rancho Cordova,CA,95670,916-631-8108,www.californiacollegeofpharmacy.org
170240,California State University - Channel Islands,One University Dr,Camarillo,CA,93012,805-437-8400,www.csuci.edu
102951,California State University - Fullerton,800 N State College Blvd,Fullerton,CA,92831-3599,714-278-2011,www.fullerton.edu
103006,California State University - Sacramento,6000 J St,Sacramento,CA,95819-2694,916-278-6011,www.csus.edu
114585,Calumet College of St. Joseph,2400 New York Ave,Whiting,IN,46394,219-473-7770,www.ccsj.edu
139047,Calvary Baptist Theological Seminary,1380 S. Valley Forge Rd.,Lansdale,PA,19446-4797,215-368-7538-101,seminary.cbs.edu
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,93534,661-942-6204,www.careercareinstitute.com
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,93534,661-942-6204,www.careercareinstitute.com
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,93534,661-942-6204,www.careercareinstitute.com
191773,Career College of New York - Staten Island,"350 St. Marks Place, Room 105",Staten Island,NY,10301,,
191764,Career College of San Diego,"3350 Market Street, Suite C",San Diego,CA,92102,619-338-0813,www.careercollegesandiego.com
208433,Carolina College of Biblical Studies,817 S. McPherson Church Road,Fayetteville,NC,28303-5157,910-323-5614,www.carolinabiblecollege.org
216463,Carolina College of Hair Design,"85 Tunnel Road, Innsbruck Mall",Asheville,NC,28805,,
174482,Carolina Graduate School of Divinity,2400 Old Chapman Street,Greensboro,NC,27403,336-882-3370,www.ceds.edu
174482,Carolina Graduate School of Divinity,2400 Old Chapman Street,Greensboro,NC,27403,336-882-3370,www.ceds.edu
112118,Carrington College - Boise,1122 North Liberty Street,Boise,ID,83704,208-377-8080,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,85051-4063,602-433-1333,www.apollocollege.edu
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,85051-4063,602-433-1333,www.apollocollege.edu
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,85051-4063,602-433-1333,www.apollocollege.edu
143163,Carson-Newman University,1646 Russell Avenue,Jefferson City,TN,37760,865-471-2000,www.cn.edu
188702,Carville Job Corps Academy,5465 Point Clair Road,Carville,LA,70721,225-642-0699,
168087,Cascadia Community College,18345 Campus Way NE,Bothell,WA,98011-8205,425-352-8000,www.cascadia.edu
139083,Cedar Crest College,100 College Drive,Allentown,PA,18104-6196,610-437-4471,www.cedarcrest.edu
208646,Cedars Sinai Medical Center,8700 Beverly Blvd.  Room 1316,Los Angeles,CA,90048,,
188720,Center for Antiterrorism and Navy Security Forces,"1575 Gator Boulevard, Suite 226",Norfolk,VA,23521,,
103264,Center for Employment Training - San Jose,701 Vine St,San Jose,CA,95110,408-287-7924,www.cet2000.org
187763,Central Baptist Theological Seminary of Minneapolis,900 Forestview Lane North,Plymouth,MN,55441,763-417-8250,www.centralseminary.edu
103370,Chapman University,One University Dr.,Orange,CA,92866,714-997-6815,www.chapman.edu
106625,Charles A. Jones Skills and Business Education Center,5451 Lemon Hill Ave,Sacramento,CA,95824-1529,916-433-2600-1000,
162779,Charles H McCann Technical School,70 Hodges Cross Rd,North Adams,MA,01247-3999,413-663-5383-181,
103389,Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,CA,90059,323-563-4800,www.cdrewu.edu
172787,Charlotte Christian College and Theological Seminary,3117 Whiting Ave,Charlotte,NC,28205-1648,704-334-6882,www.nlts.edu
112668,Chicago State University,9501 South King Drive,Chicago,IL,60628,773-995-2000,www.csu.edu
150419,Chippewa Valley Technical College,620 W Clairemont Ave,Eau Claire,WI,54701-6162,715-833-6200,www.cvtc.edu
153056,Christian Life College,400 E Gregory St,Mount Prospect,IL,60056-2522,847-259-1840,www.christianlifecollege.edu
